Designator,Package,Quantity,Designation,Supplier and ref,,
"D1,D2,D3,D4,D5",LED 5mm Any Type Or Colour,1,LED’s,https://www.ebay.co.uk/itm/LED-5mm-or-3mm-Superbright-Clear-Diffused-Choose-Colour-Mix-Pack-UK-Seller/152508668100?hash=item23823998c4:m:mk481vBPTiEJj9fJM2xVUYA,,
"C41,C40,C39,C21,C20,C17,C15,C13,C11,C9,C8,C7,C5,C2,C1",Ceramic Disk Capacitor Or Equivalent,16,100nf,https://www.ebay.co.uk/itm/450Pcs-15Value-10pF-100nF-Ceramic-Disc-Capacitor-Monolithic-MLCC-Assortment-Kit/362913712147?_trkparms=ispr%3D1&hash=item547f57c813:g:sk8AAOSwzhleRTkC&enc=AQAEAAACYIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXKs4ijYSTGv0%2BdOMHOyVlosNdhzsQPHbORghpP%2FQDxO0kkwWpgLsNpYLWfGQAnt%2B12dHh%2BgClzfJ%2BVqUWzTfLLXze6vqah6c7Af%2BkL9CzZTzyJ%2BCw38Eo15qBFDIXQBR4QW%2BqfOpCwOEQdTLBMUKzdZzq2r46g%2FApp7%2BCEpIQGiB5NOW2nWtCSDLR6U565qVKUx%2ByuJn%2BS%2FLkqLJqhvSqa2kV4RRkQO0hTOmlSs%2BKc2i1bIwFa5xfdgr5w7xqQxFFT6bVvq5Fuxb3NswE0ORC1ZCflhwJBkvNpZf6%2FQlMJt9rmI%2FPlNm4YnpRdalLFEodXIjScK8RPOn1UO1r0B9hKH2qnR4jQvTLqFgUPeBwdSb%2F1AHPtVjDooN5F7kzwhTAYH4ZBN6CYGuOy4W5xdjgC9yS2YZeCH2xcXl%2BERE7jqu4fCxsYfyybyTSA%2BSDhzhHx3dUzKlgd5nbYFQ81ySXizrF27NrUUHSd3jZRAc7GKTBYwbJbRwOpAsq%2B51SzjEVIhe4betUTDdMq1TeQmEeum7eSc9rW%2BNQVmSfpgvHkghv4rKmCX%2BBKeX%2FGnnkGd%2FOeAuthXE8eWY%2BH2AKca%2FRJZ1AW6dvF0YhTeWimEkhnbCfhWijfRBPW29IbDDtZRPcwg28Zfi9gz3IgZ9IrJiVKRK%2BgwNIg62USLwgrHONVU3tpgZ5r7muI4jX%2FD4%2ByNGFTSGVgCyrRyH0TCPzTJ%2FtHPQWcUamTqkS%2Bw8PbbSoOyzJLWQpq7EBI0sdB9Y8bH3KC&checksum=362913712147eb35d5fa6ddc4909b7e2f20c41415c96,,
"C25,C24,C23",Ceramic Disk Capacitor Or Equivalent,3,2.2nf,,,
"C19,C18,C16,C14,C12,C10",Ceramic Disk Capacitor Or Equivalent,6,470pf,,,
"C29,C38,C37,C33,C32,C31,C3",10uf Electrolytic Capacitor - 16 or 30v or any,7,10uf,,,
"C36,C35,C34,C30",4.7uf Electrolytic Capacitor - 16 or 30v or any,4,4.7uf,,,
C4,47uf Electrolytic Capacitor -16 or 30v or any,1,47uf,https://www.ebay.co.uk/itm/Electrolytic-Capacitor-Radial-10v-16v-25v-35v-63v-100v-mfd-Packs-10-25-50-105-C/123134531038?hash=item1cab63d5de:m:mqGC0t5d3uVj7JGUptA2Alg,,
JACK SOCKETS ,Big Mommas,3,,https://www.thonk.co.uk/shop/pj612a-14-inch-jacks/,,
Knobs Small,Any but linked are the ones I like,9,,https://www.rapidonline.com/sci-rn-117b-arrow-control-knob-23mm-32-0250,,
Knobs Medium,Any but linked are the ones I like,1,,https://www.rapidonline.com/sci-rn-113b-line-indicator-control-knob-30mm-32-0110,,
BATCH 1 notes below :-,,,,,,
DO NO INSTALL C22 unless you want a hella dodgy squeal,,,,,,
"LED’s long leg (+, Anode) in the circular hole, Short leg Square Hole",,,,,,
C4 labelling is a tiny bit confusing so please check you have the right,,,,,,
"Capacitor in the right place, check image on website",,,,,,
"IC SOCKETS 14 pin and 16 pin, its a good idea to socket pt2399’s as sometimes you can get a funky one.",,,,rapidonline.com/truconnect-14-pin-dil-socket-7-62mm-no-central-support-tube-of-34-22-0108,,
,,,,https://www.rapidonline.com/truconnect-16-pin-dil-socket-7-62mm-no-central-support-tube-of-30-22-0109,,
